Time,w_f,F,N1,N2,P3,T5
0.189,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.19,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.191,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.192,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.193,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.194,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.195,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.196,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.197,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.198,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.199,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.2,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.201,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.202,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.203,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.204,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.205,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.206,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.207,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.208,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.209,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.21,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.211,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.212,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.213,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.214,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.215,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.216,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.217,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.218,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.219,0.7,37.2811324909901,7277.23127080251,12935.8681935423,1726.41023912824,1316.44192292493
0.22,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.221,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.222,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.223,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.224,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.225,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.226,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.227,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.228,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.229,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.23,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.231,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.232,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.233,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.234,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.235,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.236,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.237,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.238,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.239,0.7,38.1531486036698,7374.20167345301,13013.2060755297,1747.53045659309,1286.48831900339
0.24,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.241,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.242,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.243,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.244,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.245,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.246,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.247,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.248,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.249,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.25,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.251,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.252,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.253,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.254,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
